NOME,QoE,TempoJogo,UsoCpu,UsoRam,UsoGpu,UsoVram,DelayVideo,DelayComandos,JitterVideo,JitterComandos,PerdaVideo,PerdaComandos,Jogo,JogariaNovamente,EstadoEspirito,TerminoPartida,IDADE,GENERO,CURSO,HORASJOGASEMANA,RESOLUCAO,FREQUENCIA,QUALJAJOGOU,TEMPOQUALJAJOGOU,MOUSEMANETEVR
Player 59,2,4,25,19,13,12,150,0,5,0,0.5,0.0,Half-Life 2,NAO,Triste,15,21,M,Ciências da Computação,8,1080p,60,Nenhum,0,Mouse e Manete e Celular
Player 59,5,3,26,19,13,12,25,100,5,15,3.0,3.0,Half-Life 2,SIM,Feliz,15,21,M,Ciências da Computação,8,1080p,60,Nenhum,0,Mouse e Manete e Celular
Player 60,6,7,10,13,6,7,125,25,15,5,0.0,0.0,Half-Life 2,SIM,Indiferente,19,20,M,Ciências da Computação,2,-1080p,60,Nenhum,0,Nenhum
Player 60,2,5,10,14,6,7,100,125,5,0,3.0,3.0,Spelunky,NAO,Indiferente,19,20,M,Ciências da Computação,2,-1080p,60,Nenhum,0,Nenhum
Player 60,4,3,12,18,11,10,25,100,10,10,2.0,2.0,FEAR,SIM,Indiferente,19,20,M,Ciências da Computação,2,-1080p,60,Nenhum,0,Nenhum
Player 60,6,4,16,18,16,12,25,0,20,0,2.0,0.0,FEAR,SIM,Indiferente,19,20,M,Ciências da Computação,2,-1080p,60,Nenhum,0,Nenhum
Player 60,5,3,18,14,8,8,100,0,10,0,1.5,0.0,Spelunky,SIM,Feliz,19,20,M,Ciências da Computação,2,-1080p,60,Nenhum,0,Nenhum
Player 61,6,3,21,13,11,11,0,50,0,5,0.0,1.0,Half-Life 2,SIM,Indiferente,10,21,M,Engenharia Mecânica,1,1080p,60,Nenhum,0,Manete
Player 61,6,4,18,13,8,8,0,125,0,0,0.0,0.5,Spelunky,SIM,Indiferente,10,21,M,Engenharia Mecânica,1,1080p,60,Nenhum,0,Manete
Player 61,6,3,18,16,17,12,25,125,0,5,3.0,3.0,FEAR,SIM,Indiferente,10,21,M,Engenharia Mecânica,1,1080p,60,Nenhum,0,Manete
Player 61,6,4,21,14,12,12,0,125,0,20,0.0,1.0,Half-Life 2,SIM,Indiferente,10,21,M,Engenharia Mecânica,1,1080p,60,Nenhum,0,Manete
Player 61,6,3,18,14,9,9,50,125,5,0,0.0,1.5,Spelunky,SIM,Indiferente,10,21,M,Engenharia Mecânica,1,1080p,60,Nenhum,0,Manete
Player 62,5,4,17,14,10,10,75,0,10,0,2.0,0.0,Half-Life 2,SIM,Feliz,14,23,M,Ciências da Computação,6,4k,60,Nenhum,0,Mouse
Player 63,4,3,18,14,8,8,0,50,0,10,0.0,3.0,Spelunky,SIM,Feliz,14,22,M,Ciências da Computação,8,1080p,60,Half-Life 2,8,Mouse e Celular
Player 46,1,4,24,15,12,11,150,50,15,10,2.5,2.5,Half-Life 2,NAO,Indiferente,14,25,M,Ciências da Computação,-1,-1080p,60,Nenhum,0,Mouse
Player 64,4,3,22,15,12,11,150,150,20,25,2.5,2.5,Half-Life 2,NAO,Feliz,14,23,M,Ciências da Computação,8,-1080p,60,Nenhum,0,Mouse e Manete
Player 64,5,3,17,15,8,8,125,0,20,0,0.5,0.0,Spelunky,NAO,Feliz,14,23,M,Ciências da Computação,8,-1080p,60,Nenhum,0,Mouse e Manete
Player 64,1,3,11,19,10,10,0,150,0,0,0.0,2.0,FEAR,NAO,Triste,14,23,M,Ciências da Computação,8,-1080p,60,Nenhum,0,Mouse e Manete
Player 46,4,3,20,14,12,11,100,0,5,0,3.0,0.0,Half-Life 2,SIM,Indiferente,13,25,M,Ciências da Computação,-1,-1080p,60,Nenhum,0,Mouse
Player 65,4,4,22,15,12,11,0,75,0,20,0.0,0.5,Half-Life 2,SIM,Indiferente,12,28,M,Ciências da Computação,8,1440p,144,Nenhum,0,Mouse
Player 65,4,4,21,17,13,11,0,50,0,0,0.0,0.5,FEAR,SIM,Indiferente,12,28,M,Ciências da Computação,8,1440p,144,Nenhum,0,Mouse
Player 66,5,3,16,12,9,9,150,25,20,0,2.5,2.5,Half-Life 2,SIM,Feliz,14,20,M,Engenharia de Controle e Automação,2,1080p,60,Nenhum,0,Celular
Player 66,5,3,16,13,8,8,0,125,0,5,0.0,0.5,Spelunky,SIM,Feliz,14,20,M,Engenharia de Controle e Automação,2,1080p,60,Nenhum,0,Celular
Player 67,2,3,22,14,12,12,150,0,15,0,0.0,0.0,Half-Life 2,SIM,Feliz,14,19,M,Engenharia Ambiental,-1,1080p,60,Nenhum,0,Mouse
Player 68,4,3,13,15,11,10,150,150,20,0,2.0,2.0,FEAR,SIM,Indiferente,15,25,M,Ciências da Computação,4,1080p,60,Nenhum,0,Mouse e Manete
Player 68,4,4,26,15,13,12,150,0,20,0,1.5,0.0,Half-Life 2,NAO,Indiferente,15,25,M,Ciências da Computação,4,1080p,60,Nenhum,0,Mouse e Manete
Player 69,6,4,16,14,7,8,150,150,10,15,0.0,0.0,Spelunky,SIM,Feliz,15,23,M,Ciências da Computação,3,1080p,60,Nenhum,0,Mouse e Manete
Player 69,5,3,17,16,18,13,75,100,25,20,1.5,1.5,FEAR,SIM,Feliz,15,23,M,Ciências da Computação,3,1080p,60,Nenhum,0,Mouse e Manete
Player 69,5,3,24,15,13,12,100,125,5,5,3.0,3.0,Half-Life 2,SIM,Feliz,15,23,M,Ciências da Computação,3,1080p,60,Nenhum,0,Mouse e Manete
Player 54,3,4,23,13,12,11,125,50,20,5,1.5,1.5,Half-Life 2,SIM,Feliz,16,20,M,Sistemas de Informação,4,1080p,75,Nenhum,0,Mouse
Player 70,4,3,21,16,17,13,25,0,20,0,0.5,0.0,FEAR,SIM,Feliz,17,19,M,Engenharia Elétrica,4,1080p,60,Nenhum,0,Mouse
Player 70,5,3,22,17,22,15,50,100,20,20,2.0,2.0,FEAR,SIM,Feliz,17,19,M,Engenharia Elétrica,4,1080p,60,Nenhum,0,Mouse
Player 70,5,4,26,17,21,15,125,50,20,20,0.5,0.5,FEAR,SIM,Feliz,17,19,M,Engenharia Elétrica,4,1080p,60,Nenhum,0,Mouse
Player 71,3,4,24,14,12,12,0,50,0,25,0.0,3.0,Half-Life 2,SIM,Feliz,17,19,M,Sistemas de Informação,-1,-1080p,60,Nenhum,0,Mouse
Player 71,3,3,15,17,11,10,0,0,0,0,3.0,0.0,FEAR,0,0,17,19,M,Sistemas de Informação,-1,-1080p,60,Nenhum,0,Mouse
Player 71,4,3,22,17,21,14,125,50,5,15,0.0,0.0,FEAR,SIM,Feliz,17,19,M,Sistemas de Informação,-1,-1080p,60,Nenhum,0,Mouse
Player 71,4,4,16,15,9,10,75,150,15,10,0.5,0.5,FEAR,SIM,Feliz,17,19,M,Sistemas de Informação,-1,-1080p,60,Nenhum,0,Mouse
Player 71,5,4,21,17,14,12,0,125,0,15,0.0,2.5,FEAR,SIM,Feliz,17,19,M,Sistemas de Informação,-1,-1080p,60,Nenhum,0,Mouse
Player 72,3,3,19,14,8,8,0,150,0,5,0.0,3.0,Spelunky,NAO,Feliz,18,22,M,Sistemas de Informação,5,1080p,144,Nenhum,0,Mouse
